airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
2577,SKBS,BSC,José Celestino Mutis Airport,6.20292,-77.3947,Colombia,80,-5,America/Bogota
2578,SKBU,BUN,Gerardo Tobar López Airport,3.81963,-76.9898,Colombia,48,-5,America/Bogota
2579,SKCC,CUC,Camilo Daza International Airport,7.92757,-72.5115,Colombia,1096,-5,America/Bogota
2580,SKCG,CTG,Rafael Nuñez International Airport,10.4424,-75.513,Colombia,4,-5,America/Bogota
2581,SKCL,CLO,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816,Colombia,3162,-5,America/Bogota
2582,SKCO,TCO,La Florida Airport,1.81442,-78.7492,Colombia,8,-5,America/Bogota
2583,SKCZ,CZU,Las Brujas Airport,9.33274,-75.2856,Colombia,528,-5,America/Bogota
2584,SKEJ,EJA,Yariguíes Airport,7.02433,-73.8068,Colombia,412,-5,America/Bogota
2585,SKFL,FLA,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644,Colombia,803,-5,America/Bogota
2586,SKGI,GIR,Santiago Vila Airport,4.27624,-74.7967,Colombia,900,-5,America/Bogota
2587,SKGP,GPI,Juan Casiano Airport,2.57013,-77.8986,Colombia,164,-5,America/Bogota
2588,SKGY,,Guaymaral Airport,4.81233,-74.0649,Colombia,8390,-5,America/Bogota
2589,SKIB,IBE,Perales Airport,4.42161,-75.1333,Colombia,2999,-5,America/Bogota
2590,SKIP,IPI,San Luis Airport,0.861925,-77.6718,Colombia,9765,-5,America/Bogota
2591,SKLC,APO,Antonio Roldan Betancourt Airport,7.81196,-76.7164,Colombia,46,-5,America/Bogota
2592,SKLM,MCJ,Jorge Isaac Airport,11.2325,-72.4901,Colombia,281,-5,America/Bogota
2593,SKLT,LET,Alfredo Vásquez Cobo International Airport,-4.19355,-69.9432,Colombia,277,-5,America/Bogota
2594,SKMD,EOH,Enrique Olaya Herrera Airport,6.220549,-75.590582,Colombia,4949,-5,America/Bogota
2595,SKMG,MGN,Baracoa Airport,9.28474,-74.8461,Colombia,178,-5,America/Bogota
2596,SKMR,MTR,Los Garzones Airport,8.82374,-75.8258,Colombia,36,-5,America/Bogota
2597,SKMU,MVP,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339,Colombia,680,-5,America/Bogota
2598,SKMZ,MZL,La Nubia Airport,5.0296,-75.4647,Colombia,6871,-5,America/Bogota
2599,SKNV,NVA,Benito Salas Airport,2.95015,-75.294,Colombia,1464,-5,America/Bogota
2600,SKOC,OCV,Aguas Claras Airport,8.31506,-73.3583,Colombia,3850,-5,America/Bogota
2601,SKOT,OTU,Otu Airport,7.01037,-74.7155,Colombia,2060,-5,America/Bogota
2602,SKPB,,Puerto Bolívar Airport,12.2215,-71.9848,Colombia,90,-5,America/Bogota
2603,SKPC,PCR,German Olano Airport,6.18472,-67.4932,Colombia,177,-5,America/Bogota
